CustomerID,Country,first_invoices_time
17850.0,United Kingdom,2010-12-01 08:26:00
13047.0,United Kingdom,2010-12-01 08:34:00
12583.0,France,2010-12-01 08:45:00
13748.0,United Kingdom,2010-12-01 09:00:00
15100.0,United Kingdom,2010-12-01 09:09:00
15291.0,United Kingdom,2010-12-01 09:32:00
14688.0,United Kingdom,2010-12-01 09:37:00
15311.0,United Kingdom,2010-12-01 09:41:00
17809.0,United Kingdom,2010-12-01 09:41:00
14527.0,United Kingdom,2010-12-01 09:41:00
16098.0,United Kingdom,2010-12-01 09:45:00
18074.0,United Kingdom,2010-12-01 09:53:00
17420.0,United Kingdom,2010-12-01 09:56:00
16029.0,United Kingdom,2010-12-01 09:57:00
16250.0,United Kingdom,2010-12-01 09:59:00
12431.0,Australia,2010-12-01 10:03:00
17511.0,United Kingdom,2010-12-01 10:19:00
17548.0,United Kingdom,2010-12-01 10:24:00
13705.0,United Kingdom,2010-12-01 10:29:00
13747.0,United Kingdom,2010-12-01 10:37:00
13408.0,United Kingdom,2010-12-01 10:39:00
13767.0,United Kingdom,2010-12-01 10:47:00
17924.0,United Kingdom,2010-12-01 10:51:00
13448.0,United Kingdom,2010-12-01 10:52:00
15862.0,United Kingdom,2010-12-01 11:21:00
15513.0,United Kingdom,2010-12-01 11:22:00
12791.0,Netherlands,2010-12-01 11:27:00
16218.0,United Kingdom,2010-12-01 11:29:00
14045.0,United Kingdom,2010-12-01 11:32:00
14307.0,United Kingdom,2010-12-01 11:41:00
17908.0,United Kingdom,2010-12-01 11:45:00
17920.0,United Kingdom,2010-12-01 11:49:00
12838.0,United Kingdom,2010-12-01 11:57:00
13255.0,United Kingdom,2010-12-01 11:58:00
16583.0,United Kingdom,2010-12-01 12:03:00
18085.0,United Kingdom,2010-12-01 12:08:00
13758.0,United Kingdom,2010-12-01 12:08:00
13694.0,United Kingdom,2010-12-01 12:12:00
15983.0,United Kingdom,2010-12-01 12:15:00
14849.0,United Kingdom,2010-12-01 12:22:00
17968.0,United Kingdom,2010-12-01 12:23:00
16210.0,United Kingdom,2010-12-01 12:27:00
17897.0,United Kingdom,2010-12-01 12:31:00
17377.0,United Kingdom,2010-12-01 12:35:00
16552.0,United Kingdom,2010-12-01 12:36:00
17181.0,United Kingdom,2010-12-01 12:38:00
17951.0,United Kingdom,2010-12-01 12:40:00
14729.0,United Kingdom,2010-12-01 12:43:00
12748.0,United Kingdom,2010-12-01 12:48:00
15012.0,United Kingdom,2010-12-01 12:49:00
12868.0,United Kingdom,2010-12-01 12:50:00
17572.0,United Kingdom,2010-12-01 12:51:00
14078.0,United Kingdom,2010-12-01 12:54:00
14001.0,United Kingdom,2010-12-01 12:58:00
12662.0,Germany,2010-12-01 13:04:00
15525.0,United Kingdom,2010-12-01 13:17:00
14237.0,United Kingdom,2010-12-01 13:20:00
17905.0,United Kingdom,2010-12-01 13:21:00
15485.0,United Kingdom,2010-12-01 13:23:00
12433.0,Norway,2010-12-01 13:24:00
16955.0,United Kingdom,2010-12-01 13:31:00
15350.0,United Kingdom,2010-12-01 13:33:00
15605.0,United Kingdom,2010-12-01 13:38:00
18144.0,United Kingdom,2010-12-01 13:45:00
15922.0,United Kingdom,2010-12-01 13:51:00
14594.0,United Kingdom,2010-12-01 13:54:00
15165.0,United Kingdom,2010-12-01 14:03:00
14911.0,EIRE,2010-12-01 14:05:00
16456.0,United Kingdom,2010-12-01 14:11:00
17841.0,United Kingdom,2010-12-01 14:30:00
12472.0,Germany,2010-12-01 14:33:00
17346.0,United Kingdom,2010-12-01 14:34:00
17643.0,United Kingdom,2010-12-01 14:38:00
17873.0,United Kingdom,2010-12-01 14:54:00
13093.0,United Kingdom,2010-12-01 15:00:00
12921.0,United Kingdom,2010-12-01 15:06:00
13468.0,United Kingdom,2010-12-01 15:08:00
17760.0,United Kingdom,2010-12-01 15:08:00
16928.0,United Kingdom,2010-12-01 15:21:00
16048.0,United Kingdom,2010-12-01 15:27:00
16274.0,United Kingdom,2010-12-01 15:35:00
14496.0,United Kingdom,2010-12-01 15:35:00
14696.0,United Kingdom,2010-12-01 15:37:00
16539.0,United Kingdom,2010-12-01 15:40:00
17025.0,United Kingdom,2010-12-01 15:45:00
13777.0,United Kingdom,2010-12-01 16:01:00
17690.0,United Kingdom,2010-12-01 16:15:00
12947.0,United Kingdom,2010-12-01 16:21:00
17460.0,United Kingdom,2010-12-01 16:24:00
18229.0,United Kingdom,2010-12-01 16:25:00
14142.0,United Kingdom,2010-12-01 16:33:00
17069.0,United Kingdom,2010-12-01 16:49:00
13065.0,United Kingdom,2010-12-01 16:52:00
14606.0,United Kingdom,2010-12-01 16:57:00
16835.0,United Kingdom,2010-12-01 17:15:00
15235.0,United Kingdom,2010-12-01 17:22:00
13576.0,United Kingdom,2010-12-01 17:24:00
18011.0,United Kingdom,2010-12-01 17:35:00
13090.0,United Kingdom,2010-12-02 07:48:00
15694.0,United Kingdom,2010-12-02 07:49:00
